"","id","wave","age","educ","noveliv","lninc","work"
"1",1,1,31,"College Graduate",-0.634240176173991,-5.68743604064708,TRUE
"2",2,1,23,"College Graduate",1.07602002063532,-1.69029414669269,TRUE
"3",3,1,33,"Postgraduate",0.918417100700859,-8.19737077456384,TRUE
"4",4,1,29,"College Graduate",0.303140122280998,-5.46411521830415,TRUE
"5",5,1,49,"Postgraduate",0.697175203121529,-28.8521079997401,TRUE
"6",6,1,50,"College Graduate",0.517605825924701,NA,FALSE
"7",7,1,37,"Some College",-1.60560208945457,NA,FALSE
"8",8,1,42,"Some College",0.0228761421588442,-16.7558551727613,TRUE
"9",9,1,30,"High School Graduate",0.723949665949213,-6.88821399462739,TRUE
"10",10,1,27,"College Graduate",-0.261254712483352,-3.07003276224161,TRUE
"11",11,1,35,"Postgraduate",-0.0964929163389855,-10.1604827482994,TRUE
"12",12,1,30,"College Graduate",2.10776986863527,-4.81950656981391,TRUE
"13",13,1,22,"Some College",-0.1119706893369,1.11922669024537,TRUE
"14",14,1,50,"Some College",-2.09761539627432,NA,FALSE
"15",15,1,43,"Some College",1.12474700925434,-19.1616063661651,TRUE
"16",16,1,27,"Postgraduate",-0.578676592043042,-1.07559203525459,TRUE
"17",17,1,43,"Postgraduate",-1.13203743873786,-19.7114600279883,TRUE
"18",18,1,32,"Postgraduate",-0.408474563529818,-6.52405060221418,TRUE
"19",19,1,48,"Postgraduate",-1.53275528122458,NA,FALSE
"20",20,1,24,"Some College",-0.682183749309772,-5.2245876004544,TRUE
"21",21,1,48,"Some College",-1.05899421106614,NA,FALSE
"22",22,1,23,"High School Graduate",-1.81661660139072,-3.4369376597881,TRUE
"23",23,1,40,"Some College",0.363265692448925,-15.9275604577939,TRUE
"24",24,1,45,"College Graduate",0.635052572102157,-22.3143015920856,TRUE
"25",25,1,39,"High School Graduate",-0.490364020242151,-14.0749619052747,TRUE
"26",26,1,39,"College Graduate",-0.127076225022462,-12.4004075764004,TRUE
"27",27,1,40,"High School Graduate",0.51662940649053,-15.7709308865693,TRUE
"28",28,1,35,"Postgraduate",0.195133037430354,-8.76447572392853,TRUE
"29",29,1,29,"Postgraduate",0.680500151960951,-4.67777155258581,TRUE
"30",30,1,26,"College Graduate",-0.545193704116012,-2.62450105820987,TRUE
"31",31,1,24,"Some College",-0.406894425080653,-2.21695596276721,TRUE
"32",32,1,25,"Some College",0.24799387329085,-0.863441496463205,TRUE
"33",33,1,29,"High School Graduate",0.46267772881994,-5.65447431264449,TRUE
"34",34,1,45,"College Graduate",0.42012813720509,-22.6442165669332,TRUE
"35",35,1,41,"College Graduate",1.4634175840827,-13.7199487429294,TRUE
"36",36,1,48,"Postgraduate",0.526130244224117,NA,FALSE
"37",37,1,37,"Postgraduate",-1.77375080510603,-10.3093449169713,TRUE
"38",38,1,42,"College Graduate",0.783932486872881,-19.749351834427,TRUE
"39",39,1,32,"College Graduate",-0.527665746562845,-6.69708615424095,TRUE
"40",40,1,45,"College Graduate",-0.373952967087334,-23.1180975914783,TRUE
"41",41,1,33,"Some College",1.56008871887374,-7.97616618161217,TRUE
"42",42,1,30,"Some College",0.882556210554681,-5.87269954419731,TRUE
"43",43,1,49,"High School Graduate",2.24893600761518,NA,FALSE
"44",44,1,33,"High School Graduate",-0.709516651963435,-8.41550033763979,TRUE
"45",45,1,27,"High School Graduate",0.997099836711653,-4.33627209709695,TRUE
"46",46,1,47,"Some College",-1.11268823478691,NA,FALSE
"47",47,1,50,"College Graduate",-0.383012417640037,NA,FALSE
"48",48,1,37,"College Graduate",0.325872912711499,-10.0754247810989,TRUE
"49",49,1,46,"Some College",1.05016051425468,NA,FALSE
"50",50,1,41,"High School Graduate",-0.505453238082383,-17.0093729475322,TRUE
"51",51,1,22,"High School Graduate",2.04917258242824,0.241303125382902,TRUE
"52",52,1,40,"Some College",-0.340229552987305,-14.2170358967108,TRUE
"53",53,1,22,"Some College",-0.794804354446489,-0.569852828706844,TRUE
"54",54,1,37,"Some College",-0.676531305276757,-12.3254957236591,TRUE
"55",55,1,42,"High School Graduate",0.746139189931925,-18.0100970514807,TRUE
"56",56,1,43,"Some College",1.73795968799595,-20.5858599011702,TRUE
"57",57,1,33,"Some College",0.172909565872556,-8.75303174896612,TRUE
"58",58,1,39,"College Graduate",-0.510963398163453,-14.5604398474967,TRUE
"59",59,1,37,"Postgraduate",-1.24662482356759,-12.4215158840253,TRUE
"60",60,1,41,"College Graduate",1.22341750953778,-14.8583137384016,TRUE
"61",61,1,47,"College Graduate",0.323813253189539,-23.1388792589809,TRUE
"62",62,1,45,"High School Graduate",1.27030184414341,-23.1189917788847,TRUE
"63",63,1,47,"High School Graduate",-0.286600577471629,-25.0219888519442,TRUE
"64",64,1,48,"High School Graduate",0.169738283376438,NA,FALSE
"65",65,1,40,"High School Graduate",-1.34749900968418,-16.5299880638972,TRUE
"66",66,1,31,"Postgraduate",-1.00831613477303,-6.12391079449566,TRUE
"67",67,1,47,"College Graduate",-0.533934326611968,NA,FALSE
"68",68,1,36,"High School Graduate",1.16861947221617,-10.7477541894631,TRUE
"69",69,1,30,"College Graduate",-0.704903358100662,-3.99830740809794,TRUE
"70",70,1,46,"College Graduate",-1.15823153713856,NA,FALSE
"71",71,1,44,"Postgraduate",0.135152937975486,-21.2297009537329,TRUE
"72",72,1,36,"College Graduate",-0.182806818783498,-10.8746586572763,TRUE
"73",73,1,41,"College Graduate",0.198804356453728,-15.8013219917003,TRUE
"74",74,1,21,"College Graduate",-1.65513067526159,0.362747924276231,TRUE
"75",75,1,35,"Some College",0.47611332153936,-9.22099567949841,TRUE
"76",76,1,40,"Postgraduate",-0.1672343617058,-16.8826951206853,TRUE
"77",77,1,26,"High School Graduate",-2.49467843286357,-2.63500835098478,TRUE
"78",78,1,39,"Postgraduate",-2.27473310504588,-14.5707585869728,TRUE
"79",79,1,39,"College Graduate",0.590556043026356,-13.6117836588112,TRUE
"80",80,1,35,"High School Graduate",2.02431215534617,-8.68374814323085,TRUE
"81",81,1,40,"High School Graduate",-1.23187707720193,-14.8118562780354,TRUE
"82",82,1,48,"College Graduate",0.868430511634551,-25.8904216476461,TRUE
"83",83,1,31,"Some College",1.39991556271156,-6.60895150440015,TRUE
"84",84,1,48,"Postgraduate",-1.14798032140384,NA,FALSE
"85",85,1,48,"College Graduate",-1.275995836169,NA,FALSE
"86",86,1,25,"Postgraduate",-1.18856918374688,-4.53232498644059,TRUE
"87",87,1,34,"High School Graduate",-1.08222909601453,-10.5548728147493,TRUE
"88",88,1,41,"College Graduate",0.265360651533029,-18.1490037233459,TRUE
"89",89,1,31,"Some College",-1.96724406929765,-5.38508463261703,TRUE
"90",90,1,49,"Some College",0.697340693231395,NA,FALSE
"91",91,1,25,"High School Graduate",0.521589893871389,-0.74069486579613,TRUE
"92",92,1,40,"High School Graduate",-0.674429681758961,-17.2116799285216,TRUE
"93",93,1,26,"Postgraduate",-0.257906065684272,-4.35524431949173,TRUE
"94",94,1,50,"Some College",0.389139243258356,NA,FALSE
"95",95,1,29,"High School Graduate",1.20721610839939,-3.92158533014922,TRUE
"96",96,1,45,"High School Graduate",0.0732167197354675,-22.4404852323859,TRUE
"97",97,1,32,"Postgraduate",-0.187084956390558,-5.54926497313536,TRUE
"98",98,1,33,"High School Graduate",0.0385917003982473,-8.21935481568127,TRUE
"99",99,1,24,"High School Graduate",0.99174460204031,-1.70931501071194,TRUE
"100",100,1,37,"College Graduate",-0.893423999214952,-13.2179166938229,TRUE
"101",101,1,21,"Postgraduate",-0.521113446217749,1.09522716265514,TRUE
"102",102,1,36,"Some College",-1.44322662209476,-10.6459385511033,TRUE
"103",103,1,35,"Some College",0.310949424793535,-9.47604346025489,TRUE
"104",104,1,45,"College Graduate",-1.37145625419378,-22.856270026004,TRUE
"105",105,1,39,"Some College",-0.670859496934391,-14.7582065738513,TRUE
"106",106,1,49,"High School Graduate",-0.350514469137713,NA,FALSE
"107",107,1,30,"High School Graduate",-1.58406244150164,-7.59510417369273,TRUE
"108",108,1,28,"High School Graduate",0.458354725186699,-3.96987130008181,TRUE
"109",109,1,31,"Postgraduate",0.264275971638636,-5.94747386886154,TRUE
"110",110,1,28,"Some College",-0.803637261673859,-2.81405135105978,TRUE
"111",111,1,47,"Postgraduate",0.405133938180914,-25.7122759777413,TRUE
"112",112,1,25,"Postgraduate",0.330187214141554,0.878863106876357,TRUE
"113",113,1,45,"High School Graduate",0.02267174592053,-21.2059780129791,TRUE
"114",114,1,50,"Postgraduate",-0.0646627897724732,-29.469344179043,TRUE
"115",115,1,27,"Some College",0.369195309328852,-3.65831210668502,TRUE
