"id","time","x","d"
1,1,6,0
2,1,3,0
3,1,3,0
4,1,5,0
5,1,5,0
6,1,4,0
7,1,0,0
8,1,6,0
9,1,4,1
10,1,2,0
11,1,3,0
12,1,0,0
13,1,6,1
14,1,1,0
15,1,5,0
16,1,3,0
17,1,0,0
18,1,3,0
19,1,4,0
20,1,5,0
21,1,3,0
22,1,0,0
23,1,3,0
24,1,3,0
25,1,6,0
26,1,3,0
27,1,0,0
28,1,3,0
29,1,0,0
30,1,0,0
31,1,5,1
32,1,1,0
33,1,3,0
34,1,2,0
35,1,5,0
36,1,6,0
37,1,3,1
38,1,0,0
39,1,1,0
40,1,3,0
41,1,4,0
42,1,6,0
43,1,2,0
44,1,0,1
45,1,3,1
46,1,2,0
47,1,1,0
48,1,0,0
49,1,2,0
50,1,6,0
51,1,2,0
52,1,4,0
53,1,1,0
54,1,1,0
55,1,6,0
56,1,1,0
57,1,0,0
58,1,1,0
59,1,6,0
60,1,5,0
61,1,6,0
62,1,2,0
63,1,5,1
64,1,2,0
65,1,1,0
66,1,6,1
67,1,0,0
68,1,6,0
69,1,6,0
70,1,6,0
71,1,6,0
72,1,1,0
73,1,6,0
74,1,4,0
75,1,6,1
76,1,5,0
77,1,2,0
78,1,6,0
79,1,4,0
80,1,6,0
81,1,2,0
82,1,1,0
83,1,0,0
84,1,4,0
85,1,0,0
86,1,5,0
87,1,2,0
88,1,0,0
89,1,3,0
90,1,0,0
91,1,2,0
92,1,0,0
93,1,2,0
94,1,5,0
95,1,0,0
96,1,2,0
97,1,2,0
98,1,2,0
99,1,0,0
100,1,2,0
101,1,5,0
102,1,5,0
103,1,1,0
104,1,4,0
105,1,2,0
106,1,4,1
107,1,2,0
108,1,1,0
109,1,0,0
110,1,6,0
111,1,2,0
112,1,3,0
113,1,4,0
114,1,0,0
115,1,0,0
116,1,1,0
117,1,0,0
118,1,1,0
119,1,3,0
120,1,2,0
121,1,1,0
122,1,3,0
123,1,2,0
124,1,3,0
125,1,4,0
126,1,2,0
127,1,5,0
128,1,2,1
129,1,3,0
130,1,6,0
131,1,2,0
132,1,0,0
133,1,5,0
134,1,6,0
135,1,1,0
136,1,6,1
137,1,5,1
138,1,0,0
139,1,5,0
140,1,2,0
141,1,3,0
142,1,6,0
143,1,3,0
144,1,2,0
145,1,1,0
146,1,2,0
147,1,3,0
148,1,3,0
149,1,4,0
150,1,2,0
151,1,5,0
152,1,3,0
153,1,0,0
154,1,5,0
155,1,2,0
156,1,5,0
157,1,3,0
158,1,3,1
159,1,6,1
160,1,2,0
161,1,2,0
162,1,5,0
163,1,6,1
164,1,3,0
165,1,3,0
166,1,1,0
167,1,2,0
168,1,6,1
169,1,6,0
170,1,2,0
171,1,6,1
172,1,2,0
173,1,5,0
174,1,4,0
175,1,3,0
176,1,5,1
177,1,0,0
178,1,1,0
179,1,2,0
180,1,2,0
181,1,1,0
182,1,1,0
183,1,6,0
184,1,1,0
185,1,4,0
186,1,1,0
187,1,4,0
188,1,6,1
189,1,0,0
190,1,6,0
191,1,2,0
192,1,2,0
193,1,4,0
194,1,2,0
195,1,5,0
196,1,6,1
197,1,2,0
198,1,2,0
199,1,4,1
200,1,3,0
201,1,4,0
202,1,0,0
203,1,5,1
204,1,6,0
205,1,4,0
206,1,0,0
207,1,6,0
208,1,2,0
209,1,6,0
210,1,2,0
211,1,2,0
212,1,0,0
213,1,3,1
214,1,3,0
215,1,5,0
216,1,3,0
217,1,5,1
218,1,0,0
219,1,1,0
220,1,2,0
221,1,2,0
222,1,5,0
223,1,1,0
224,1,1,0
225,1,5,0
226,1,4,0
227,1,2,0
228,1,3,0
229,1,6,1
230,1,2,0
231,1,0,0
232,1,4,0
233,1,4,1
234,1,1,0
235,1,5,0
236,1,5,0
237,1,2,0
238,1,4,0
239,1,2,0
240,1,6,0
241,1,2,0
242,1,5,1
243,1,4,0
244,1,0,0
245,1,6,0
246,1,1,0
247,1,3,0
248,1,2,0
249,1,4,0
250,1,4,0
251,1,5,0
252,1,3,1
253,1,1,1
254,1,0,0
255,1,0,0
256,1,4,0
257,1,0,0
258,1,6,1
259,1,5,0
260,1,1,0
261,1,4,0
262,1,3,0
263,1,6,0
264,1,0,0
265,1,3,0
266,1,3,0
267,1,4,0
268,1,6,0
269,1,0,0
270,1,4,0
271,1,6,0
272,1,2,0
273,1,1,0
274,1,4,0
275,1,3,0
276,1,2,1
277,1,4,0
278,1,1,1
279,1,6,0
280,1,4,0
281,1,0,0
282,1,2,0
283,1,3,0
284,1,4,0
285,1,5,0
286,1,6,1
287,1,6,0
288,1,1,0
289,1,4,0
290,1,2,0
291,1,1,0
292,1,1,0
293,1,2,0
294,1,3,0
295,1,5,0
296,1,5,0
297,1,4,0
298,1,4,1
299,1,4,0
300,1,1,0
301,1,3,0
302,1,5,0
303,1,3,0
304,1,3,0
305,1,3,0
306,1,2,0
307,1,1,0
308,1,6,0
309,1,5,0
310,1,5,0
311,1,6,1
312,1,2,0
313,1,0,0
314,1,6,0
315,1,3,0
316,1,4,0
317,1,6,0
318,1,0,0
319,1,2,0
320,1,4,1
321,1,3,0
322,1,4,0
323,1,1,0
324,1,0,0
325,1,5,0
326,1,1,0
327,1,5,0
328,1,3,1
329,1,0,0
330,1,3,0
331,1,4,0
332,1,3,0
333,1,6,0
334,1,6,0
335,1,3,0
336,1,4,0
337,1,3,0
338,1,0,0
339,1,4,0
340,1,2,0
341,1,3,0
342,1,0,0
343,1,1,0
344,1,2,0
345,1,1,1
346,1,1,0
347,1,4,0
348,1,3,0
349,1,2,0
350,1,3,0
351,1,3,0
352,1,6,0
353,1,5,0
354,1,0,0
355,1,5,0
356,1,4,0
357,1,3,0
358,1,1,0
359,1,4,0
360,1,2,0
361,1,2,0
362,1,2,0
363,1,5,0
364,1,5,0
365,1,4,1
366,1,4,0
367,1,4,0
368,1,6,0
369,1,1,0
370,1,4,0
371,1,3,0
372,1,1,1
373,1,1,0
374,1,0,0
375,1,5,0
376,1,2,0
377,1,0,0
378,1,0,0
379,1,4,0
380,1,0,0
381,1,5,0
382,1,4,0
383,1,4,1
384,1,2,0
385,1,1,0
386,1,1,0
387,1,0,0
388,1,2,0
389,1,4,0
390,1,1,0
391,1,2,0
392,1,2,0
393,1,0,0
394,1,0,0
395,1,4,0
396,1,2,0
397,1,6,1
398,1,4,0
399,1,1,0
400,1,5,0
401,1,1,0
402,1,6,0
403,1,0,0
404,1,1,0
405,1,1,0
406,1,4,0
407,1,5,0
408,1,6,0
409,1,6,0
410,1,6,0
411,1,0,0
412,1,1,0
413,1,2,0
414,1,6,0
415,1,2,0
416,1,6,0
417,1,0,0
418,1,5,0
419,1,4,0
420,1,1,1
421,1,0,0
422,1,2,0
423,1,5,0
424,1,0,0
425,1,6,0
426,1,0,0
427,1,6,1
428,1,0,0
429,1,2,0
430,1,4,0
431,1,6,0
432,1,4,0
433,1,4,0
434,1,3,0
